id	debug	name	stackable	members	noted	dummy	weight	value	lendable	tradeable	examine
127	3dosestatrestore	Restore potion(3)	no	yes	-1	0	30	0	no	yes	
128	cert_3dosestatrestore	Restore potion(3)	yes	yes	799	0	0	0	no	yes	
129	2dosestatrestore	Restore potion(2)	no	yes	-1	0	25	0	no	yes	
130	cert_2dosestatrestore	Restore potion(2)	yes	yes	799	0	0	0	no	yes	
131	1dosestatrestore	Restore potion(1)	no	yes	-1	0	20	0	no	yes	
132	cert_1dosestatrestore	Restore potion(1)	yes	yes	799	0	0	0	no	yes	
133	3dose1defense	Defence potion(3)	no	yes	-1	0	30	0	no	yes	
134	cert_3dose1defense	Defence potion(3)	yes	yes	799	0	0	0	no	yes	
135	2dose1defense	Defence potion(2)	no	yes	-1	0	25	0	no	yes	
136	cert_2dose1defense	Defence potion(2)	yes	yes	799	0	0	0	no	yes	
137	1dose1defense	Defence potion(1)	no	yes	-1	0	20	0	no	yes	
138	cert_1dose1defense	Defence potion(1)	yes	yes	799	0	0	0	no	yes	
139	3doseprayerrestore	Prayer potion(3)	no	yes	-1	0	30	0	no	yes	
140	cert_3doseprayerrestore	Prayer potion(3)	yes	yes	799	0	0	0	no	yes	
141	2doseprayerrestore	Prayer potion(2)	no	yes	-1	0	25	0	no	yes	
142	cert_2doseprayerrestore	Prayer potion(2)	yes	yes	799	0	0	0	no	yes	
143	1doseprayerrestore	Prayer potion(1)	no	yes	-1	0	20	0	no	yes	
144	cert_1doseprayerrestore	Prayer potion(1)	yes	yes	799	0	0	0	no	yes	
145	3dose2attack	Super attack(3)	no	yes	-1	0	30	0	no	yes	
146	cert_3dose2attack	Super attack(3)	yes	yes	799	0	0	0	no	yes	
147	2dose2attack	Super attack(2)	no	yes	-1	0	25	0	no	yes	
148	cert_2dose2attack	Super attack(2)	yes	yes	799	0	0	0	no	yes	
149	1dose2attack	Super attack(1)	no	yes	-1	0	20	0	no	yes	
150	cert_1dose2attack	Super attack(1)	yes	yes	799	0	0	0	no	yes	
151	3dosefisherspotion	Fishing potion(3)	no	yes	-1	0	30	0	no	yes	
152	cert_3dosefisherspotion	Fishing potion(3)	yes	yes	799	0	0	0	no	yes	
153	2dosefisherspotion	Fishing potion(2)	no	yes	-1	0	25	0	no	yes	
154	cert_2dosefisherspotion	Fishing potion(2)	yes	yes	799	0	0	0	no	yes	
155	1dosefisherspotion	Fishing potion(1)	no	yes	-1	0	20	0	no	yes	
156	cert_1dosefisherspotion	Fishing potion(1)	yes	yes	799	0	0	0	no	yes	
157	3dose2strength	Super strength(3)	no	yes	-1	0	30	0	no	yes	
158	cert_3dose2strength	Super strength(3)	yes	yes	799	0	0	0	no	yes	
159	2dose2strength	Super strength(2)	no	yes	-1	0	25	0	no	yes	
160	cert_2dose2strength	Super strength(2)	yes	yes	799	0	0	0	no	yes	
161	1dose2strength	Super strength(1)	no	yes	-1	0	20	0	no	yes	
162	cert_1dose2strength	Super strength(1)	yes	yes	799	0	0	0	no	yes	
163	3dose2defense	Super defence(3)	no	yes	-1	0	30	0	no	yes	
164	cert_3dose2defense	Super defence(3)	yes	yes	799	0	0	0	no	yes	
165	2dose2defense	Super defence(2)	no	yes	-1	0	25	0	no	yes	
166	cert_2dose2defense	Super defence(2)	yes	yes	799	0	0	0	no	yes	
167	1dose2defense	Super defence(1)	no	yes	-1	0	20	0	no	yes	
168	cert_1dose2defense	Super defence(1)	yes	yes	799	0	0	0	no	yes	
169	3doserangerspotion	Ranging potion(3)	no	yes	-1	0	30	0	no	yes	
170	cert_3doserangerspotion	Ranging potion(3)	yes	yes	799	0	0	0	no	yes	
171	2doserangerspotion	Ranging potion(2)	no	yes	-1	0	25	0	no	yes	
172	cert_2doserangerspotion	Ranging potion(2)	yes	yes	799	0	0	0	no	yes	
173	1doserangerspotion	Ranging potion(1)	no	yes	-1	0	20	0	no	yes	
174	cert_1doserangerspotion	Ranging potion(1)	yes	yes	799	0	0	0	no	yes	
175	3doseantipoison	Antipoison(3)	no	yes	-1	0	30	0	no	yes	
176	cert_3doseantipoison	Antipoison(3)	yes	yes	799	0	0	0	no	yes	
177	2doseantipoison	Antipoison(2)	no	yes	-1	0	25	0	no	yes	
178	cert_2doseantipoison	Antipoison(2)	yes	yes	799	0	0	0	no	yes	
179	1doseantipoison	Antipoison(1)	no	yes	-1	0	20	0	no	yes	
180	cert_1doseantipoison	Antipoison(1)	yes	yes	799	0	0	0	no	yes	
181	3dose2antipoison	Superantipoison(3)	no	yes	-1	0	30	0	no	yes	
182	cert_3dose2antipoison	Superantipoison(3)	yes	yes	799	0	0	0	no	yes	
183	2dose2antipoison	Superantipoison(2)	no	yes	-1	0	25	0	no	yes	
184	cert_2dose2antipoison	Superantipoison(2)	yes	yes	799	0	0	0	no	yes	
185	1dose2antipoison	Superantipoison(1)	no	yes	-1	0	20	0	no	yes	
186	cert_1dose2antipoison	Superantipoison(1)	yes	yes	799	0	0	0	no	yes	
187	weapon_poison	Weapon poison	no	yes	-1	0	25	0	no	yes	
188	cert_weapon_poison	Weapon poison	yes	yes	799	0	0	0	no	yes	
189	3dosepotionofzamorak	Zamorak potion(3)	no	yes	-1	0	30	0	no	yes	
190	cert_3dosepotionofzamorak	Zamorak potion(3)	yes	yes	799	0	0	0	no	yes	
191	2dosepotionofzamorak	Zamorak potion(2)	no	yes	-1	0	25	0	no	yes	
192	cert_2dosepotionofzamorak	Zamorak potion(2)	yes	yes	799	0	0	0	no	yes	
193	1dosepotionofzamorak	Zamorak potion(1)	no	yes	-1	0	20	0	no	yes	
194	cert_1dosepotionofzamorak	Zamorak potion(1)	yes	yes	799	0	0	0	no	yes	
195	acne_potion	Potion	no	no	-1	0	25	0	no	yes	
196	cert_acne_potion	Potion	yes	no	799	0	0	0	no	yes	
197	poison_chalice	Poison chalice	no	yes	-1	0	56	0	no	yes	
198	cert_poison_chalice	Poison chalice	yes	yes	799	0	0	0	no	yes	
199	unidentified_guam	Herb	no	yes	-1	0	7	0	no	yes	
200	cert_unidentified_guam	Herb	yes	yes	799	0	0	0	no	yes	
201	unidentified_marentill	Herb	no	yes	-1	0	7	0	no	yes	
202	cert_unidentified_marentill	Herb	yes	yes	799	0	0	0	no	yes	
203	unidentified_tarromin	Herb	no	yes	-1	0	7	0	no	yes	
204	cert_unidentified_tarromin	Herb	yes	yes	799	0	0	0	no	yes	
205	unidentified_harralander	Herb	no	yes	-1	0	7	0	no	yes	
206	cert_unidentified_harralander	Herb	yes	yes	799	0	0	0	no	yes	
207	unidentified_ranarr	Herb	no	yes	-1	0	7	0	no	yes	
208	cert_unidentified_ranarr	Herb	yes	yes	799	0	0	0	no	yes	
209	unidentified_irit	Herb	no	yes	-1	0	7	0	no	yes	
210	cert_unidentified_irit	Herb	yes	yes	799	0	0	0	no	yes	
211	unidentified_avantoe	Herb	no	yes	-1	0	7	0	no	yes	
212	cert_unidentified_avantoe	Herb	yes	yes	799	0	0	0	no	yes	
213	unidentified_kwuarm	Herb	no	yes	-1	0	7	0	no	yes	
214	cert_unidentified_kwuarm	Herb	yes	yes	799	0	0	0	no	yes	
215	unidentified_cadantine	Herb	no	yes	-1	0	7	0	no	yes	
216	cert_unidentified_cadantine	Herb	yes	yes	799	0	0	0	no	yes	
217	unidentified_dwarf_weed	Herb	no	yes	-1	0	7	0	no	yes	
218	cert_unidentified_dwarf_weed	Herb	yes	yes	799	0	0	0	no	yes	
219	unidentified_torstol	Herb	no	yes	-1	0	7	0	no	yes	
220	cert_unidentified_torstol	Herb	yes	yes	799	0	0	0	no	yes	
221	eye_of_newt	Eye of newt	no	no	-1	0	7	0	no	yes	
222	cert_eye_of_newt	Eye of newt	yes	no	799	0	0	0	no	yes	
223	red_spiders_eggs	Red spiders' eggs	no	no	-1	0	7	0	no	yes	
224	cert_red_spiders_eggs	Red spiders' eggs	yes	no	799	0	0	0	no	yes	
225	limpwurt_root	Limpwurt root	no	no	-1	0	7	0	no	yes	
226	cert_limpwurt_root	Limpwurt root	yes	no	799	0	0	0	no	yes	
227	vial_water	Vial of water	no	no	-1	0	20	0	no	yes	
228	cert_vial_water	Vial of water	yes	no	799	0	0	0	no	yes	
229	vial_empty	Vial	no	no	-1	0	15	0	no	yes	
230	cert_vial_empty	Vial	yes	no	799	0	0	0	no	yes	
231	snape_grass	Snape grass	no	yes	-1	0	7	0	no	yes	
232	cert_snape_grass	Snape grass	yes	yes	799	0	0	0	no	yes	
233	pestle_and_mortar	Pestle and mortar	no	yes	-1	0	56	0	no	yes	
234	cert_pestle_and_mortar	Pestle and mortar	yes	yes	799	0	0	0	no	yes	
235	unicorn_horn_dust	Unicorn horn dust	no	yes	-1	0	7	0	no	yes	
236	cert_unicorn_horn_dust	Unicorn horn dust	yes	yes	799	0	0	0	no	yes	
237	unicorn_horn	Unicorn horn	no	yes	-1	0	7	0	no	yes	
238	cert_unicorn_horn	Unicorn horn	yes	yes	799	0	0	0	no	yes	
239	white_berries	White berries	no	yes	-1	0	7	0	no	yes	
240	cert_white_berries	White berries	yes	yes	799	0	0	0	no	yes	
241	dragon_scale_dust	Dragon scale dust	no	yes	-1	0	7	0	no	yes	
242	cert_dragon_scale_dust	Dragon scale dust	yes	yes	799	0	0	0	no	yes	
243	blue_dragon_scale	Blue dragon scale	no	yes	-1	0	10	0	no	yes	
244	cert_blue_dragon_scale	Blue dragon scale	yes	yes	799	0	0	0	no	yes	
245	wine_of_zamorak	Wine of zamorak	no	no	-1	0	85	0	no	yes	
246	cert_wine_of_zamorak	Wine of zamorak	yes	no	799	0	0	0	no	yes	
247	jangerberries	Jangerberries	no	yes	-1	0	7	0	no	yes	
248	cert_jangerberries	Jangerberries	yes	yes	799	0	0	0	no	yes	
249	guam_leaf	Guam leaf	no	yes	-1	0	7	0	no	yes	
250	cert_guam_leaf	Guam leaf	yes	yes	799	0	0	0	no	yes	
251	marentill	Marrentill	no	yes	-1	0	7	0	no	yes	
252	cert_marentill	Marrentill	yes	yes	799	0	0	0	no	yes	
253	tarromin	Tarromin	no	yes	-1	0	7	0	no	yes	
254	cert_tarromin	Tarromin	yes	yes	799	0	0	0	no	yes	
255	harralander	Harralander	no	yes	-1	0	7	0	no	yes	
256	cert_harralander	Harralander	yes	yes	799	0	0	0	no	yes	
257	ranarr_weed	Ranarr weed	no	yes	-1	0	7	0	no	yes	
258	cert_ranarr_weed	Ranarr weed	yes	yes	799	0	0	0	no	yes	
259	irit_leaf	Irit leaf	no	yes	-1	0	7	0	no	yes	
260	cert_irit_leaf	Irit leaf	yes	yes	799	0	0	0	no	yes	
261	avantoe	Avantoe	no	yes	-1	0	7	0	no	yes	
262	cert_avantoe	Avantoe	yes	yes	799	0	0	0	no	yes	
263	kwuarm	Kwuarm	no	yes	-1	0	7	0	no	yes	
264	cert_kwuarm	Kwuarm	yes	yes	799	0	0	0	no	yes	
265	cadantine	Cadantine	no	yes	-1	0	7	0	no	yes	
266	cert_cadantine	Cadantine	yes	yes	799	0	0	0	no	yes	
267	dwarf_weed	Dwarf weed	no	yes	-1	0	7	0	no	yes	
268	cert_dwarf_weed	Dwarf weed	yes	yes	799	0	0	0	no	yes	
269	torstol	Torstol	no	yes	-1	0	7	0	no	yes	
270	cert_torstol	Torstol	yes	yes	799	0	0	0	no	yes	
271	pressure_gauge	Pressure gauge	no	no	-1	0	56	0	no	no	
272	fish_food	Fish food	no	no	-1	0	28	0	no	yes	
273	poison	Poison	no	no	-1	0	20	0	no	yes	
274	poisoned_fish_food	Poisoned fish food	no	no	-1	0	30	0	no	no	
275	closet_key	Key	no	no	-1	0	10	0	no	no	
276	rubber_tube	Rubber tube	no	no	-1	0	28	0	no	no	
277	oil_can	Oil can	no	no	-1	0	28	0	no	no	
278	cattleprod	Prod	no	yes	-1	0	453	0	no	no	
279	poisoned_feed	Feed	no	yes	-1	0	2267	0	no	no	
280	sheepbonesa	Bones	no	yes	-1	0	1360	0	no	no	
281	sheepbonesb	Bones	no	yes	-1	0	1360	0	no	no	
282	sheepbonesc	Bones	no	yes	-1	0	1360	0	no	no	
283	sheepbonesd	Bones	no	yes	-1	0	1360	0	no	no	
284	plague_jacket	Plague jacket	no	yes	-1	0	2721	0	no	no	
285	plague_trousers	Plague trousers	no	yes	-1	0	2267	0	no	no	
286	goblin_armour_orange	Orange goblin mail	no	no	-1	0	3628	0	no	no	
287	goblin_armour_darkblue	Blue goblin mail	no	no	-1	0	3628	0	no	no	
288	goblin_armour	Goblin mail	no	no	-1	0	3628	0	no	yes	
289	cert_goblin_armour	Goblin mail	yes	no	799	0	0	0	no	yes	
290	research_package	Research package	no	no	-1	0	907	0	no	no	
291	research_notes	Notes	no	no	-1	0	28	0	no	no	
292	baxtorian_book_waterfall_quest	Book on baxtorian	no	yes	-1	0	510	0	no	no	
293	golrie_key_waterfall_quest	A key	no	yes	-1	0	10	0	no	no	
294	glarials_pebble_waterfall_quest	Glarial's pebble	no	yes	-1	0	10	0	no	no	
295	glarials_amulet_waterfall_quest	Glarial's amulet	no	yes	-1	0	10	0	no	no	
296	glarials_urn_full_waterfall_quest	Glarial's urn	no	yes	-1	0	141	0	no	no	
297	glarials_urn_empty_waterfall_quest	Glarial's urn	no	yes	-1	0	85	0	no	no	
298	baxtorian_key_waterfall_quest	A key	no	yes	-1	0	10	0	no	no	
299	mithril_seed	Mithril seeds	yes	yes	-1	0	28	0	no	yes	
300	rats_tail	Rats tail	no	no	-1	0	3	0	no	no	
301	lobster_pot	Lobster pot	no	no	-1	0	255	0	no	yes	
302	cert_lobster_pot	Lobster pot	yes	no	799	0	0	0	no	yes	
303	net	Small fishing net	no	no	-1	0	4535	0	no	yes	
304	cert_net	Small fishing net	yes	no	799	0	0	0	no	yes	
305	big_net	Big fishing net	no	yes	-1	0	8164	0	no	yes	
306	cert_big_net	Big fishing net	yes	yes	799	0	0	0	no	yes	
307	fishing_rod	Fishing rod	no	no	-1	0	1360	0	no	yes	
308	cert_fishing_rod	Fishing rod	yes	no	799	0	0	0	no	yes	
309	fly_fishing_rod	Fly fishing rod	no	no	-1	0	1360	0	no	yes	
310	cert_fly_fishing_rod	Fly fishing rod	yes	no	799	0	0	0	no	yes	
311	harpoon	Harpoon	no	no	-1	0	1360	0	no	yes	
312	cert_harpoon	Harpoon	yes	no	799	0	0	0	no	yes	
313	fishing_bait	Fishing bait	yes	no	-1	0	2	0	no	yes	
314	feather	Feather	yes	no	-1	0	2	0	no	yes	
315	shrimp	Shrimps	no	no	-1	0	100	0	no	yes	
316	cert_shrimp	Shrimps	yes	no	799	0	0	0	no	yes	
317	raw_shrimp	Raw shrimps	no	no	-1	0	120	0	no	yes	
318	cert_raw_shrimp	Raw shrimps	yes	no	799	0	0	0	no	yes	
319	anchovies	Anchovies	no	no	-1	0	100	0	no	yes	
320	cert_anchovies	Anchovies	yes	no	799	0	0	0	no	yes	
321	raw_anchovies	Raw anchovies	no	no	-1	0	120	0	no	yes	
322	cert_raw_anchovies	Raw anchovies	yes	no	799	0	0	0	no	yes	
323	burntfish1	Burnt fish	no	no	-1	0	80	0	no	yes	
324	cert_burntfish1	Burnt fish	yes	no	799	0	0	0	no	yes	
325	sardine	Sardine	no	no	-1	0	120	0	no	yes	
326	cert_sardine	Sardine	yes	no	799	0	0	0	no	yes	
327	raw_sardine	Raw sardine	no	no	-1	0	140	0	no	yes	
328	cert_raw_sardine	Raw sardine	yes	no	799	0	0	0	no	yes	
329	salmon	Salmon	no	no	-1	0	500	0	no	yes	
330	cert_salmon	Salmon	yes	no	799	0	0	0	no	yes	
331	raw_salmon	Raw salmon	no	no	-1	0	550	0	no	yes	
332	cert_raw_salmon	Raw salmon	yes	no	799	0	0	0	no	yes	
333	trout	Trout	no	no	-1	0	400	0	no	yes	
334	cert_trout	Trout	yes	no	799	0	0	0	no	yes	
335	raw_trout	Raw trout	no	no	-1	0	450	0	no	yes	
336	cert_raw_trout	Raw trout	yes	no	799	0	0	0	no	yes	
337	giant_carp	Giant carp	no	yes	-1	0	500	0	no	no	
338	raw_giant_carp	Raw giant carp	no	yes	-1	0	550	0	no	no	
339	cod	Cod	no	yes	-1	0	400	0	no	yes	
340	cert_cod	Cod	yes	yes	799	0	0	0	no	yes	
341	raw_cod	Raw cod	no	yes	-1	0	450	0	no	yes	
342	cert_raw_cod	Raw cod	yes	yes	799	0	0	0	no	yes	
343	burntfish2	Burnt fish	no	no	-1	0	350	0	no	yes	
344	cert_burntfish2	Burnt fish	yes	no	799	0	0	0	no	yes	
345	raw_herring	Raw herring	no	no	-1	0	550	0	no	yes	
346	cert_raw_herring	Raw herring	yes	no	799	0	0	0	no	yes	
347	herring	Herring	no	no	-1	0	500	0	no	yes	
348	cert_herring	Herring	yes	no	799	0	0	0	no	yes	
349	raw_pike	Raw pike	no	no	-1	0	550	0	no	yes	
350	cert_raw_pike	Raw pike	yes	no	799	0	0	0	no	yes	
351	pike	Pike	no	no	-1	0	500	0	no	yes	
352	cert_pike	Pike	yes	no	799	0	0	0	no	yes	
353	raw_mackerel	Raw mackerel	no	yes	-1	0	350	0	no	yes	
354	cert_raw_mackerel	Raw mackerel	yes	yes	799	0	0	0	no	yes	
355	mackerel	Mackerel	no	yes	-1	0	300	0	no	yes	
356	cert_mackerel	Mackerel	yes	yes	799	0	0	0	no	yes	
357	burntfish3	Burnt fish	no	no	-1	0	300	0	no	yes	
358	cert_burntfish3	Burnt fish	yes	no	799	0	0	0	no	yes	
359	raw_tuna	Raw tuna	no	no	-1	0	450	0	no	yes	
360	cert_raw_tuna	Raw tuna	yes	no	799	0	0	0	no	yes	
361	tuna	Tuna	no	no	-1	0	400	0	no	yes	
362	cert_tuna	Tuna	yes	no	799	0	0	0	no	yes	
363	raw_bass	Raw bass	no	yes	-1	0	400	0	no	yes	
364	cert_raw_bass	Raw bass	yes	yes	799	0	0	0	no	yes	
365	bass	Bass	no	yes	-1	0	350	0	no	yes	
366	cert_bass	Bass	yes	yes	799	0	0	0	no	yes	
