absX	absZ	level	id	name	debug	vislevel	att	def	str	hp	rng	mage	members	size	attackrange
2153	4646	1	1002	Iban disciple	ibanmonk	13	8	12	8	20	1	1	false	1	0
2153	4649	1	1002	Iban disciple	ibanmonk	13	8	12	8	20	1	1	false	1	0
2156	4646	1	1002	Iban disciple	ibanmonk	13	8	12	8	20	1	1	false	1	0
2157	4649	1	1002	Iban disciple	ibanmonk	13	8	12	8	20	1	1	false	1	0
2159	4635	1	1002	Iban disciple	ibanmonk	13	8	12	8	20	1	1	false	1	0
2159	4642	1	1002	Iban disciple	ibanmonk	13	8	12	8	20	1	1	false	1	0
2159	4646	1	1002	Iban disciple	ibanmonk	13	8	12	8	20	1	1	false	1	0
2159	4650	1	1002	Iban disciple	ibanmonk	13	8	12	8	20	1	1	false	1	0
2160	4662	1	1002	Iban disciple	ibanmonk	13	8	12	8	20	1	1	false	1	0
2163	4653	1	1002	Iban disciple	ibanmonk	13	8	12	8	20	1	1	false	1	0
2163	4660	1	1002	Iban disciple	ibanmonk	13	8	12	8	20	1	1	false	1	0
2120	4708	1	991	Half-Souless	soulman	1	1	1	1	1	1	1	false	2	0
2121	4714	1	991	Half-Souless	soulman	1	1	1	1	1	1	1	false	2	0
2122	4695	1	991	Half-Souless	soulman	1	1	1	1	1	1	1	false	2	0
2122	4720	1	991	Half-Souless	soulman	1	1	1	1	1	1	1	false	2	0
2123	4701	1	991	Half-Souless	soulman	1	1	1	1	1	1	1	false	2	0
2127	4679	1	1005	Giant bat	non_combat_bat	0	1	1	1	1	1	1	false	2	0
2128	4719	1	991	Half-Souless	soulman	1	1	1	1	1	1	1	false	2	0
2129	4698	1	991	Half-Souless	soulman	1	1	1	1	1	1	1	false	2	0
2129	4707	1	991	Half-Souless	soulman	1	1	1	1	1	1	1	false	2	0
2129	4725	1	991	Half-Souless	soulman	1	1	1	1	1	1	1	false	2	0
2132	4712	1	1005	Giant bat	non_combat_bat	0	1	1	1	1	1	1	false	2	0
2134	4702	1	991	Half-Souless	soulman	1	1	1	1	1	1	1	false	2	0
2136	4718	1	991	Half-Souless	soulman	1	1	1	1	1	1	1	false	2	0
2137	4725	1	991	Half-Souless	soulman	1	1	1	1	1	1	1	false	2	0
2139	4697	1	991	Half-Souless	soulman	1	1	1	1	1	1	1	false	2	0
2141	4709	1	991	Half-Souless	soulman	1	1	1	1	1	1	1	false	2	0
2143	4675	1	1005	Giant bat	non_combat_bat	0	1	1	1	1	1	1	false	2	0
2145	4703	1	991	Half-Souless	soulman	1	1	1	1	1	1	1	false	2	0
2145	4721	1	991	Half-Souless	soulman	1	1	1	1	1	1	1	false	2	0
2146	4691	1	1005	Giant bat	non_combat_bat	0	1	1	1	1	1	1	false	2	0
2149	4711	1	1005	Giant bat	non_combat_bat	0	1	1	1	1	1	1	false	2	0
2154	4686	1	140	Souless	souless	18	13	18	13	24	1	1	false	1	0
2154	4695	1	140	Souless	souless	18	13	18	13	24	1	1	false	1	0
2155	4708	1	140	Souless	souless	18	13	18	13	24	1	1	false	1	0
2157	4699	1	140	Souless	souless	18	13	18	13	24	1	1	false	1	0
2161	4689	1	140	Souless	souless	18	13	18	13	24	1	1	false	1	0
2161	4720	1	1005	Giant bat	non_combat_bat	0	1	1	1	1	1	1	false	2	0
2165	4692	1	1005	Giant bat	non_combat_bat	0	1	1	1	1	1	1	false	2	0
2180	3173	0	154	Butterfly	butterfly2	0	1	1	1	1	1	1	false	1	0
2181	3184	0	1205	Tyras guard	regicide_tyras_lazy_guard	0	1	1	1	1	1	1	false	1	0
2182	3147	0	1204	Tyras guard	regicide_tyras_guard	110	85	100	95	110	1	1	false	1	2
2184	3152	0	41	Chicken	chicken	1	1	1	1	3	1	1	false	1	0
2185	3144	0	1206	Tyras guard	regicide_tyras_camp_tent_guard	0	1	1	1	1	1	1	false	1	0
2185	3152	0	1017	Chicken	chicken_brown	1	1	1	1	3	1	1	false	1	0
2186	3153	0	41	Chicken	chicken	1	1	1	1	3	1	1	false	1	0
2187	3149	0	1207	General Hining	regicide_general_hining	0	1	1	1	1	1	1	false	1	0
2187	3155	0	1204	Tyras guard	regicide_tyras_guard	110	85	100	95	110	1	1	false	1	2
2188	3171	0	1203	Tyras guard	regicide_tyras_camp_guard	110	85	100	95	110	1	1	false	1	2
2189	3152	0	1204	Tyras guard	regicide_tyras_guard	110	85	100	95	110	1	1	false	1	2
2190	3180	0	155	Butterfly	butterfly_bluemorpo	0	1	1	1	1	1	1	false	1	0
2192	3150	0	1204	Tyras guard	regicide_tyras_guard	110	85	100	95	110	1	1	false	1	2
2192	3188	0	1212	Willow the wisp	regicide_willothewisp2	0	1	1	1	1	1	1	false	1	0
2192	3191	0	1212	Willow the wisp	regicide_willothewisp2	0	1	1	1	1	1	1	false	1	0
2193	3187	0	154	Butterfly	butterfly2	0	1	1	1	1	1	1	false	1	0
2194	3140	0	1208	Quartermaster	regicidegeneralshopkeeper	0	1	1	1	1	1	1	false	1	0
2194	3158	0	157	Butterfly	butterfly_viceroy	0	1	1	1	1	1	1	false	1	0
2194	3189	0	1211		regicide_willothewisp1	0	1	1	1	1	1	1	false	1	0
2194	3190	0	1212	Willow the wisp	regicide_willothewisp2	0	1	1	1	1	1	1	false	1	0
2196	3184	0	154	Butterfly	butterfly2	0	1	1	1	1	1	1	false	1	0
2196	3187	0	1211		regicide_willothewisp1	0	1	1	1	1	1	1	false	1	0
2196	3189	0	1211		regicide_willothewisp1	0	1	1	1	1	1	1	false	1	0
2196	3191	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2197	3189	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2198	3181	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2198	3187	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2199	3183	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2199	3187	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2200	3181	0	154	Butterfly	butterfly2	0	1	1	1	1	1	1	false	1	0
2200	3185	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2200	3188	0	154	Butterfly	butterfly2	0	1	1	1	1	1	1	false	1	0
2201	3185	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2203	3189	0	154	Butterfly	butterfly2	0	1	1	1	1	1	1	false	1	0
2204	3180	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2206	3164	0	1211		regicide_willothewisp1	0	1	1	1	1	1	1	false	1	0
2206	3196	0	1194	Rabbit	regicide_bunny2	2	1	1	1	5	1	1	false	1	0
2206	3198	0	1192	Rabbit	regicide_rabbit	2	1	1	1	5	1	1	false	1	0
2208	3163	0	1212	Willow the wisp	regicide_willothewisp2	0	1	1	1	1	1	1	false	1	0
2208	3195	0	1192	Rabbit	regicide_rabbit	2	1	1	1	5	1	1	false	1	0
2209	3163	0	1212	Willow the wisp	regicide_willothewisp2	0	1	1	1	1	1	1	false	1	0
2209	3164	0	1211		regicide_willothewisp1	0	1	1	1	1	1	1	false	1	0
2215	3171	0	1195	Grizzly bear	regicide_darkbear	24	40	35	36	35	1	1	false	2	0
2216	3136	0	1212	Willow the wisp	regicide_willothewisp2	0	1	1	1	1	1	1	false	1	0
2216	3140	0	1212	Willow the wisp	regicide_willothewisp2	0	1	1	1	1	1	1	false	1	0
2216	3142	0	1211		regicide_willothewisp1	0	1	1	1	1	1	1	false	1	0
2216	3188	0	157	Butterfly	butterfly_viceroy	0	1	1	1	1	1	1	false	1	0
2217	3171	0	1196	Grizzly bear cub	regicide_darkbear_cub1	19	30	25	26	35	1	1	false	2	0
2217	3190	0	157	Butterfly	butterfly_viceroy	0	1	1	1	1	1	1	false	1	0
2218	3139	0	1211		regicide_willothewisp1	0	1	1	1	1	1	1	false	1	0
2220	3158	0	157	Butterfly	butterfly_viceroy	0	1	1	1	1	1	1	false	1	0
2222	3141	0	157	Butterfly	butterfly_viceroy	0	1	1	1	1	1	1	false	1	0
2229	3138	0	157	Butterfly	butterfly_viceroy	0	1	1	1	1	1	1	false	1	0
2231	3181	0	157	Butterfly	butterfly_viceroy	0	1	1	1	1	1	1	false	1	0
2234	3169	0	1192	Rabbit	regicide_rabbit	2	1	1	1	5	1	1	false	1	0
2236	3155	0	157	Butterfly	butterfly_viceroy	0	1	1	1	1	1	1	false	1	0
2236	3165	0	1192	Rabbit	regicide_rabbit	2	1	1	1	5	1	1	false	1	0
2176	3202	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2177	3234	0	157	Butterfly	butterfly_viceroy	0	1	1	1	1	1	1	false	1	0
2178	3203	0	154	Butterfly	butterfly2	0	1	1	1	1	1	1	false	1	0
2178	3206	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2178	3238	0	1211		regicide_willothewisp1	0	1	1	1	1	1	1	false	1	0
2180	3203	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2180	3207	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2180	3236	0	1212	Willow the wisp	regicide_willothewisp2	0	1	1	1	1	1	1	false	1	0
2182	3201	0	154	Butterfly	butterfly2	0	1	1	1	1	1	1	false	1	0
2187	3223	0	1194	Rabbit	regicide_bunny2	2	1	1	1	5	1	1	false	1	0
2187	3225	0	1192	Rabbit	regicide_rabbit	2	1	1	1	5	1	1	false	1	0
2188	3242	0	1183	Elf warrior	regicide_darkelf	90	10	10	80	105	80	1	false	1	8
2189	3220	0	1192	Rabbit	regicide_rabbit	2	1	1	1	5	1	1	false	1	0
2189	3223	0	1192	Rabbit	regicide_rabbit	2	1	1	1	5	1	1	false	1	0
2189	3225	0	1194	Rabbit	regicide_bunny2	2	1	1	1	5	1	1	false	1	0
2190	3221	0	1193	Rabbit	regicide_bunny1	2	1	1	1	5	1	1	false	1	0
2193	3244	0	1184	Elf warrior	regicide_darkelf2	108	95	80	95	105	0	1	false	1	2
2193	3256	0	1184	Elf warrior	regicide_darkelf2	108	95	80	95	105	0	1	false	1	2
2195	3250	0	1183	Elf warrior	regicide_darkelf	90	10	10	80	105	80	1	false	1	8
2197	3218	0	1197	Grizzly bear cub	regicide_darkbear_cub2	19	32	28	32	35	1	1	false	2	0
2197	3251	0	1184	Elf warrior	regicide_darkelf2	108	95	80	95	105	0	1	false	1	2
2198	3261	0	1184	Elf warrior	regicide_darkelf2	108	95	80	95	105	0	1	false	1	2
2199	3222	0	1196	Grizzly bear cub	regicide_darkbear_cub1	19	30	25	26	35	1	1	false	2	0
2200	3224	0	1195	Grizzly bear	regicide_darkbear	24	40	35	36	35	1	1	false	2	0
2200	3249	0	1184	Elf warrior	regicide_darkelf2	108	95	80	95	105	0	1	false	1	2
2201	3218	0	1196	Grizzly bear cub	regicide_darkbear_cub1	19	30	25	26	35	1	1	false	2	0
2202	3259	0	1183	Elf warrior	regicide_darkelf	90	10	10	80	105	80	1	false	1	8
2204	3255	0	1184	Elf warrior	regicide_darkelf2	108	95	80	95	105	0	1	false	1	2
2205	3252	0	1182	Lord Iorwerth	lord_iorwerth	0	1	1	1	1	1	1	false	1	0
2207	3215	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2207	3224	0	154	Butterfly	butterfly2	0	1	1	1	1	1	1	false	1	0
2208	3225	0	1211		regicide_willothewisp1	0	1	1	1	1	1	1	false	1	0
2208	3227	0	1212	Willow the wisp	regicide_willothewisp2	0	1	1	1	1	1	1	false	1	0
2208	3257	0	1183	Elf warrior	regicide_darkelf	90	10	10	80	105	80	1	false	1	8
2209	3222	0	154	Butterfly	butterfly2	0	1	1	1	1	1	1	false	1	0
2210	3215	0	1212	Willow the wisp	regicide_willothewisp2	0	1	1	1	1	1	1	false	1	0
2210	3217	0	1211		regicide_willothewisp1	0	1	1	1	1	1	1	false	1	0
2210	3224	0	1212	Willow the wisp	regicide_willothewisp2	0	1	1	1	1	1	1	false	1	0
2210	3239	0	1183	Elf warrior	regicide_darkelf	90	10	10	80	105	80	1	false	1	8
2210	3254	0	1183	Elf warrior	regicide_darkelf	90	10	10	80	105	80	1	false	1	8
2211	3218	0	154	Butterfly	butterfly2	0	1	1	1	1	1	1	false	1	0
2212	3222	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2213	3216	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2213	3243	0	1211		regicide_willothewisp1	0	1	1	1	1	1	1	false	1	0
2214	3244	0	1212	Willow the wisp	regicide_willothewisp2	0	1	1	1	1	1	1	false	1	0
2215	3245	0	1212	Willow the wisp	regicide_willothewisp2	0	1	1	1	1	1	1	false	1	0
2216	3240	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2216	3242	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2217	3244	0	154	Butterfly	butterfly2	0	1	1	1	1	1	1	false	1	0
2218	3236	0	154	Butterfly	butterfly2	0	1	1	1	1	1	1	false	1	0
2218	3238	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2218	3241	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2218	3245	0	1211		regicide_willothewisp1	0	1	1	1	1	1	1	false	1	0
2219	3244	0	1212	Willow the wisp	regicide_willothewisp2	0	1	1	1	1	1	1	false	1	0
2220	3240	0	154	Butterfly	butterfly2	0	1	1	1	1	1	1	false	1	0
2220	3242	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2220	3243	0	1211		regicide_willothewisp1	0	1	1	1	1	1	1	false	1	0
2221	3243	0	1211		regicide_willothewisp1	0	1	1	1	1	1	1	false	1	0
2222	3237	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2228	3237	0	1192	Rabbit	regicide_rabbit	2	1	1	1	5	1	1	false	1	0
2229	3239	0	1192	Rabbit	regicide_rabbit	2	1	1	1	5	1	1	false	1	0
2230	3220	0	157	Butterfly	butterfly_viceroy	0	1	1	1	1	1	1	false	1	0
2230	3237	0	1194	Rabbit	regicide_bunny2	2	1	1	1	5	1	1	false	1	0
2230	3238	0	1193	Rabbit	regicide_bunny1	2	1	1	1	5	1	1	false	1	0
2231	3234	0	157	Butterfly	butterfly_viceroy	0	1	1	1	1	1	1	false	1	0
2231	3237	0	1193	Rabbit	regicide_bunny1	2	1	1	1	5	1	1	false	1	0
2231	3238	0	1192	Rabbit	regicide_rabbit	2	1	1	1	5	1	1	false	1	0
2232	3256	0	157	Butterfly	butterfly_viceroy	0	1	1	1	1	1	1	false	1	0
2233	3221	0	157	Butterfly	butterfly_viceroy	0	1	1	1	1	1	1	false	1	0
2233	3223	0	157	Butterfly	butterfly_viceroy	0	1	1	1	1	1	1	false	1	0
2234	3237	0	1192	Rabbit	regicide_rabbit	2	1	1	1	5	1	1	false	1	0
2236	3222	0	157	Butterfly	butterfly_viceroy	0	1	1	1	1	1	1	false	1	0
2237	3225	0	157	Butterfly	butterfly_viceroy	0	1	1	1	1	1	1	false	1	0
2238	3205	0	157	Butterfly	butterfly_viceroy	0	1	1	1	1	1	1	false	1	0
2182	3281	0	1192	Rabbit	regicide_rabbit	2	1	1	1	5	1	1	false	1	0
2183	3277	0	1193	Rabbit	regicide_bunny1	2	1	1	1	5	1	1	false	1	0
2183	3279	0	1192	Rabbit	regicide_rabbit	2	1	1	1	5	1	1	false	1	0
2184	3276	0	1192	Rabbit	regicide_rabbit	2	1	1	1	5	1	1	false	1	0
2184	3280	0	1194	Rabbit	regicide_bunny2	2	1	1	1	5	1	1	false	1	0
2185	3279	0	1192	Rabbit	regicide_rabbit	2	1	1	1	5	1	1	false	1	0
2186	3280	0	1194	Rabbit	regicide_bunny2	2	1	1	1	5	1	1	false	1	0
2186	3281	0	1192	Rabbit	regicide_rabbit	2	1	1	1	5	1	1	false	1	0
2188	3277	0	1192	Rabbit	regicide_rabbit	2	1	1	1	5	1	1	false	1	0
2188	4855	0	103	Ghost	ghost	19	13	18	13	25	1	1	false	1	0
2190	4820	0	103	Ghost	ghost	19	13	18	13	25	1	1	false	1	0
2192	4852	0	103	Ghost	ghost	19	13	18	13	25	1	1	false	1	0
2193	4845	0	103	Ghost	ghost	19	13	18	13	25	1	1	false	1	0
2194	4824	0	103	Ghost	ghost	19	13	18	13	25	1	1	false	1	0
2197	4849	0	103	Ghost	ghost	19	13	18	13	25	1	1	false	1	0
2198	4825	0	103	Ghost	ghost	19	13	18	13	25	1	1	false	1	0
2206	4824	0	103	Ghost	ghost	19	13	18	13	25	1	1	false	1	0
2210	4824	0	103	Ghost	ghost	19	13	18	13	25	1	1	false	1	0
2216	4829	0	103	Ghost	ghost	19	13	18	13	25	1	1	false	1	0
2218	4818	0	103	Ghost	ghost	19	13	18	13	25	1	1	false	1	0
2218	4837	0	103	Ghost	ghost	19	13	18	13	25	1	1	false	1	0
2218	4843	0	103	Ghost	ghost	19	13	18	13	25	1	1	false	1	0
2223	4848	0	103	Ghost	ghost	19	13	18	13	25	1	1	false	1	0
2225	4850	0	103	Ghost	ghost	19	13	18	13	25	1	1	false	1	0
2226	4855	0	103	Ghost	ghost	19	13	18	13	25	1	1	false	1	0
2227	4819	0	103	Ghost	ghost	19	13	18	13	25	1	1	false	1	0
2201	4942	0	1357	Sam	boardgames_barmaid	0	1	1	1	1	1	1	false	1	0
2207	4958	0	1358	Rachael	boardgames_barmaid2	0	1	1	1	1	1	1	false	1	0
2240	3148	0	154	Butterfly	butterfly2	0	1	1	1	1	1	1	false	1	0
2240	3164	0	1192	Rabbit	regicide_rabbit	2	1	1	1	5	1	1	false	1	0
2241	3139	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2241	3144	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2241	3163	0	1193	Rabbit	regicide_bunny1	2	1	1	1	5	1	1	false	1	0
2242	3143	0	154	Butterfly	butterfly2	0	1	1	1	1	1	1	false	1	0
2242	3150	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2242	3151	0	154	Butterfly	butterfly2	0	1	1	1	1	1	1	false	1	0
2242	3162	0	1194	Rabbit	regicide_bunny2	2	1	1	1	5	1	1	false	1	0
2242	3164	0	1193	Rabbit	regicide_bunny1	2	1	1	1	5	1	1	false	1	0
2243	3140	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2243	3161	0	1192	Rabbit	regicide_rabbit	2	1	1	1	5	1	1	false	1	0
2244	3137	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2244	3138	0	154	Butterfly	butterfly2	0	1	1	1	1	1	1	false	1	0
2244	3144	0	154	Butterfly	butterfly2	0	1	1	1	1	1	1	false	1	0
2244	3146	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2244	3179	0	154	Butterfly	butterfly2	0	1	1	1	1	1	1	false	1	0
2245	3137	0	154	Butterfly	butterfly2	0	1	1	1	1	1	1	false	1	0
2245	3139	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2245	3141	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2245	3146	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2246	3139	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2246	3142	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2246	3181	0	154	Butterfly	butterfly2	0	1	1	1	1	1	1	false	1	0
2247	3138	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2247	3141	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2247	3143	0	154	Butterfly	butterfly2	0	1	1	1	1	1	1	false	1	0
2247	3144	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2247	3147	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2247	3177	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2249	3142	0	154	Butterfly	butterfly2	0	1	1	1	1	1	1	false	1	0
2249	3143	0	154	Butterfly	butterfly2	0	1	1	1	1	1	1	false	1	0
2250	3137	0	154	Butterfly	butterfly2	0	1	1	1	1	1	1	false	1	0
2250	3177	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2250	3180	0	154	Butterfly	butterfly2	0	1	1	1	1	1	1	false	1	0
2251	3138	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2251	3141	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2252	3139	0	154	Butterfly	butterfly2	0	1	1	1	1	1	1	false	1	0
2252	3140	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2253	3141	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2254	3137	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2254	3139	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2254	3140	0	154	Butterfly	butterfly2	0	1	1	1	1	1	1	false	1	0
2255	3175	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2256	3173	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2257	3149	0	1199	Elf Tracker	regicide_old_camp_tracker	0	1	1	1	1	1	1	false	1	0
2257	3177	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2264	3140	0	1192	Rabbit	regicide_rabbit	2	1	1	1	5	1	1	false	1	0
2265	3141	0	1194	Rabbit	regicide_bunny2	2	1	1	1	5	1	1	false	1	0
2273	3182	0	1192	Rabbit	regicide_rabbit	2	1	1	1	5	1	1	false	1	0
2274	3164	0	1192	Rabbit	regicide_rabbit	2	1	1	1	5	1	1	false	1	0
2275	3161	0	157	Butterfly	butterfly_viceroy	0	1	1	1	1	1	1	false	1	0
2277	3183	0	156	Butterfly	butterfly_tigerswallowtail	0	1	1	1	1	1	1	false	1	0
2278	3141	0	154	Butterfly	butterfly2	0	1	1	1	1	1	1	false	1	0
2278	3160	0	1194	Rabbit	regicide_bunny2	2	1	1	1	5	1	1	false	1	0
2279	3137	0	154	Butterfly	butterfly2	0	1	1	1	1	1	1	false	1	0
2279	3158	0	1192	Rabbit	regicide_rabbit	2	1	1	1	5	1	1	false	1	0
2281	3139	0	154	Butterfly	butterfly2	0	1	1	1	1	1	1	false	1	0
2281	3142	0	1211		regicide_willothewisp1	0	1	1	1	1	1	1	false	1	0
2282	3140	0	1212	Willow the wisp	regicide_willothewisp2	0	1	1	1	1	1	1	false	1	0
2282	3147	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2283	3136	0	1211		regicide_willothewisp1	0	1	1	1	1	1	1	false	1	0
2283	3145	0	1211		regicide_willothewisp1	0	1	1	1	1	1	1	false	1	0
2284	3140	0	154	Butterfly	butterfly2	0	1	1	1	1	1	1	false	1	0
2284	3151	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2286	3146	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2287	3150	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2287	3153	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2290	3154	0	153	Butterfly	butterfly	0	1	1	1	1	1	1	false	1	0
2291	3156	0	1196	Grizzly bear cub	regicide_darkbear_cub1	19	30	25	26	35	1	1	false	2	0
2291	3179	0	157	Butterfly	butterfly_viceroy	0	1	1	1	1	1	1	false	1	0
2292	3153	0	1195	Grizzly bear	regicide_darkbear	24	40	35	36	35	1	1	false	2	0
2293	3156	0	1195	Grizzly bear	regicide_darkbear	24	40	35	36	35	1	1	false	2	0
